FIPS,County,Category,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021
22001.0,Acadia,Antigen Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,143.0,143.0,145.0,186.0,187.0,198.0,199.0,199.0,218.0,217.0,271.0,275.0,275.0,297.0,297.0,301.0,300.0,324.0,334.0,347.0,360.0,360.0,368.0,371.0,396.0,457.0,472.0,492.0,492.0,511.0,510.0,533.0,549.0,563.0,589.0,589.0,604.0,602.0,670.0,695.0,706.0,706.0,706.0,707.0,705.0,739.0,924.0,945.0,945.0,945.0,947.0,946.0,979.0,1150.0,1165.0,1203.0,1203.0,1243.0,1242.0,1301.0,1335.0,1347.0,1402.0,1402.0,1428.0,1426.0,1444.0,1519.0,1547.0,1558.0,1558.0,1624.0,1624.0,1682.0,1738.0,1768.0,1773.0,1773.0,1800.0,1806.0,1896.0,1919.0,1959.0,1960.0,1960.0,2001.0,1999.0,2048.0,2050.0,2115.0,2137.0,2137.0,2150.0,2144.0,2144.0,2165.0,2165.0,2171.0,2171.0,2211.0,2206.0,2250.0,2278.0,2289.0,2296.0,2296.0,2337.0,2349.0,2359.0,2379.0,2424.0,2434.0,2434.0,2460.0,2470.0,2518.0,2532.0,2550.0
22003.0,Allen,Antigen Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,206.0,213.0,211.0,243.0,252.0,256.0,258.0,258.0,273.0,274.0,303.0,305.0,305.0,370.0,370.0,375.0,373.0,402.0,406.0,416.0,423.0,423.0,477.0,478.0,502.0,516.0,529.0,568.0,568.0,594.0,596.0,619.0,631.0,660.0,683.0,683.0,688.0,688.0,703.0,723.0,787.0,787.0,787.0,788.0,790.0,796.0,857.0,875.0,875.0,875.0,875.0,874.0,928.0,989.0,1027.0,1064.0,1064.0,1081.0,1081.0,1127.0,1171.0,1182.0,1194.0,1194.0,1241.0,1242.0,1223.0,1286.0,1315.0,1322.0,1322.0,1358.0,1354.0,1389.0,1410.0,1445.0,1495.0,1495.0,1501.0,1506.0,1524.0,1539.0,1582.0,1593.0,1593.0,1650.0,1658.0,1690.0,1686.0,1753.0,1775.0,1775.0,1773.0,1780.0,1780.0,1783.0,1790.0,1793.0,1793.0,1835.0,1835.0,1861.0,1876.0,1876.0,1880.0,1880.0,1899.0,1901.0,1923.0,1934.0,1946.0,1952.0,1952.0,1962.0,1968.0,1995.0,2005.0,2021.0
22005.0,Ascension,Antigen Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.0,1230.0,1289.0,1290.0,1320.0,1674.0,1732.0,1832.0,1832.0,1884.0,1888.0,2259.0,2286.0,2286.0,2358.0,2358.0,2436.0,2434.0,2581.0,2614.0,2637.0,2884.0,2884.0,3006.0,3010.0,3131.0,3596.0,3617.0,3830.0,3830.0,4094.0,4102.0,4146.0,4465.0,4641.0,4728.0,4728.0,4846.0,4858.0,4945.0,5216.0,5290.0,5290.0,5290.0,5509.0,5513.0,5758.0,5901.0,5969.0,5969.0,5969.0,6024.0,6030.0,6293.0,6540.0,6663.0,6724.0,6724.0,6998.0,7007.0,7310.0,7781.0,8408.0,8767.0,8767.0,8919.0,8938.0,9040.0,9198.0,9440.0,9530.0,9530.0,9801.0,9824.0,9894.0,10312.0,10368.0,10437.0,10437.0,10637.0,10670.0,10882.0,11030.0,11333.0,11433.0,11433.0,11518.0,11557.0,11657.0,11673.0,11868.0,11883.0,11883.0,11993.0,11998.0,11998.0,12051.0,12148.0,12206.0,12206.0,12280.0,12287.0,12475.0,12506.0,12654.0,12729.0,12729.0,12893.0,12967.0,13032.0,13129.0,13205.0,13270.0,13270.0,13392.0,13431.0,13493.0,13572.0,13623.0
22007.0,Assumption,Antigen Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,215.0,296.0,298.0,352.0,392.0,417.0,458.0,458.0,477.0,476.0,528.0,533.0,533.0,551.0,551.0,558.0,559.0,583.0,608.0,622.0,657.0,657.0,692.0,698.0,729.0,750.0,764.0,781.0,781.0,809.0,813.0,862.0,879.0,898.0,932.0,932.0,974.0,973.0,1046.0,1051.0,1098.0,1098.0,1098.0,1112.0,1108.0,1150.0,1270.0,1310.0,1310.0,1310.0,1353.0,1354.0,1396.0,1463.0,1502.0,1584.0,1584.0,1638.0,1641.0,1701.0,1771.0,1808.0,1840.0,1840.0,1889.0,1891.0,1910.0,1980.0,2026.0,2050.0,2050.0,2186.0,2189.0,2279.0,2332.0,2369.0,2424.0,2424.0,2505.0,2529.0,2642.0,2653.0,2695.0,2713.0,2713.0,2765.0,2772.0,2823.0,2829.0,2858.0,2874.0,2874.0,2898.0,2899.0,2899.0,2920.0,2926.0,2950.0,2950.0,2977.0,2975.0,3020.0,3028.0,3078.0,3104.0,3104.0,3141.0,3157.0,3162.0,3181.0,3194.0,3221.0,3221.0,3235.0,3250.0,3256.0,3277.0,3290.0
22009.0,Avoyelles,Antigen Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.0,371.0,380.0,381.0,414.0,430.0,450.0,465.0,465.0,490.0,491.0,569.0,579.0,579.0,631.0,631.0,648.0,650.0,714.0,691.0,713.0,748.0,748.0,813.0,811.0,864.0,884.0,896.0,938.0,938.0,973.0,973.0,1027.0,1062.0,1112.0,1143.0,1143.0,1165.0,1164.0,1243.0,1273.0,1292.0,1292.0,1292.0,1293.0,1293.0,1315.0,1430.0,1477.0,1477.0,1477.0,1491.0,1491.0,1576.0,1651.0,1731.0,1773.0,1773.0,1839.0,1840.0,1921.0,1989.0,2073.0,2095.0,2095.0,2150.0,2148.0,2219.0,2248.0,2280.0,2309.0,2309.0,2388.0,2384.0,2414.0,2494.0,2557.0,2593.0,2593.0,2643.0,2664.0,2722.0,2761.0,2782.0,2797.0,2797.0,2912.0,2936.0,3013.0,3015.0,3097.0,3121.0,3121.0,3125.0,3124.0,3124.0,3124.0,3129.0,3126.0,3126.0,3171.0,3174.0,3209.0,3242.0,3270.0,3289.0,3289.0,3326.0,3339.0,3356.0,3363.0,3397.0,3406.0,3406.0,3427.0,3433.0,3453.0,3484.0,3485.0
22011.0,Beauregard,Antigen Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,193.0,202.0,203.0,206.0,213.0,224.0,230.0,230.0,241.0,241.0,264.0,266.0,266.0,289.0,289.0,289.0,290.0,315.0,314.0,320.0,331.0,331.0,346.0,346.0,360.0,376.0,390.0,407.0,407.0,432.0,432.0,445.0,465.0,486.0,515.0,515.0,557.0,558.0,652.0,716.0,731.0,731.0,731.0,733.0,732.0,736.0,989.0,1135.0,1135.0,1135.0,1137.0,1136.0,1100.0,1371.0,1432.0,1507.0,1507.0,1687.0,1687.0,1761.0,1904.0,1967.0,2023.0,2023.0,2101.0,2094.0,2079.0,2228.0,2374.0,2377.0,2377.0,2532.0,2533.0,2601.0,2695.0,2790.0,2834.0,2834.0,2906.0,2909.0,3001.0,3113.0,3171.0,3170.0,3170.0,3237.0,3240.0,3356.0,3362.0,3492.0,3549.0,3549.0,3560.0,3561.0,3561.0,3543.0,3550.0,3550.0,3550.0,3637.0,3633.0,3727.0,3785.0,3813.0,3817.0,3817.0,3920.0,3920.0,3960.0,3987.0,4026.0,4039.0,4039.0,4073.0,4103.0,4123.0,4145.0,4169.0
22013.0,Bienville,Antigen Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,104.0,107.0,107.0,110.0,142.0,147.0,150.0,150.0,152.0,152.0,165.0,166.0,166.0,167.0,167.0,167.0,167.0,169.0,169.0,191.0,211.0,211.0,235.0,233.0,257.0,275.0,282.0,290.0,290.0,371.0,373.0,435.0,439.0,460.0,476.0,476.0,491.0,492.0,485.0,503.0,510.0,510.0,510.0,529.0,527.0,528.0,551.0,574.0,574.0,574.0,574.0,576.0,600.0,630.0,641.0,684.0,684.0,703.0,705.0,780.0,796.0,806.0,825.0,825.0,832.0,834.0,826.0,885.0,1009.0,1024.0,1024.0,1047.0,1051.0,1063.0,1098.0,1124.0,1131.0,1131.0,1143.0,1147.0,1202.0,1230.0,1282.0,1278.0,1278.0,1298.0,1303.0,1304.0,1313.0,1320.0,1338.0,1338.0,1342.0,1348.0,1348.0,1370.0,1372.0,1369.0,1369.0,1385.0,1390.0,1400.0,1405.0,1403.0,1398.0,1398.0,1407.0,1417.0,1413.0,1419.0,1420.0,1427.0,1427.0,1432.0,1442.0,1460.0,1468.0,1466.0
22015.0,Bossier,Antigen Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061.0,1061.0,1090.0,1089.0,1115.0,1408.0,1458.0,1479.0,1479.0,1504.0,1504.0,1804.0,1821.0,1821.0,1867.0,1867.0,1907.0,1905.0,1928.0,1966.0,1995.0,2252.0,2252.0,2420.0,2425.0,2523.0,2574.0,2596.0,2621.0,2621.0,2834.0,2833.0,2866.0,2873.0,3088.0,3117.0,3117.0,3331.0,3332.0,3350.0,3541.0,3543.0,3543.0,3543.0,3846.0,3846.0,3998.0,4076.0,4096.0,4096.0,4096.0,4107.0,4106.0,4463.0,4569.0,4586.0,4683.0,4683.0,5047.0,5046.0,5375.0,5611.0,5649.0,5864.0,5864.0,5899.0,5909.0,5927.0,6154.0,6273.0,6289.0,6289.0,6674.0,6693.0,6781.0,7120.0,7178.0,7222.0,7222.0,7452.0,7448.0,7746.0,8097.0,9047.0,9057.0,9057.0,9164.0,9165.0,9326.0,9332.0,9358.0,9407.0,9407.0,9638.0,9651.0,9651.0,9685.0,9752.0,9754.0,9754.0,9788.0,9786.0,9851.0,9887.0,10027.0,10044.0,10044.0,10105.0,10214.0,10281.0,10301.0,10329.0,10345.0,10345.0,10471.0,10506.0,10559.0,10559.0,10598.0
22017.0,Caddo,Antigen Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2794.0,2794.0,2859.0,2861.0,2884.0,2957.0,3079.0,3129.0,3129.0,3184.0,3185.0,3250.0,3273.0,3273.0,3438.0,3438.0,3450.0,3453.0,3511.0,3638.0,3717.0,3790.0,3790.0,3849.0,3854.0,3958.0,4111.0,4185.0,4244.0,4244.0,4299.0,4301.0,4367.0,4382.0,4539.0,4602.0,4602.0,4839.0,4839.0,4892.0,4955.0,4973.0,4973.0,4973.0,5026.0,5028.0,5050.0,5148.0,5187.0,5187.0,5187.0,5203.0,5204.0,5723.0,5894.0,5992.0,6258.0,6258.0,6491.0,6492.0,6950.0,7071.0,7176.0,7374.0,7374.0,7428.0,7428.0,7455.0,7757.0,8291.0,8317.0,8317.0,8964.0,9025.0,9195.0,9414.0,9507.0,9644.0,9644.0,9791.0,9799.0,10031.0,10320.0,12547.0,12581.0,12581.0,12797.0,12813.0,13095.0,13094.0,13128.0,13212.0,13212.0,13353.0,13353.0,13353.0,13437.0,13488.0,13514.0,13514.0,13627.0,13640.0,13922.0,14040.0,14187.0,14222.0,14222.0,14430.0,14452.0,14846.0,14954.0,15017.0,15126.0,15126.0,15203.0,15347.0,15447.0,15576.0,15759.0
22019.0,Calcasieu,Antigen Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2599.0,2599.0,2972.0,2973.0,3181.0,3359.0,3525.0,3903.0,3903.0,4020.0,4018.0,4379.0,4397.0,4397.0,4611.0,4611.0,4630.0,4626.0,5239.0,5371.0,5427.0,5535.0,5535.0,5658.0,5660.0,5810.0,6629.0,6911.0,7271.0,7271.0,7823.0,7821.0,7782.0,8319.0,8581.0,8800.0,8800.0,9080.0,9077.0,9510.0,9853.0,10073.0,10073.0,10073.0,10079.0,10086.0,10531.0,11810.0,12132.0,12132.0,12132.0,12137.0,12135.0,12405.0,14358.0,14828.0,15162.0,15162.0,15645.0,15648.0,16446.0,16934.0,17411.0,17742.0,17742.0,18169.0,18178.0,18350.0,19063.0,20061.0,20122.0,20122.0,21017.0,21029.0,21454.0,22386.0,23383.0,23543.0,23543.0,24026.0,24038.0,24783.0,25114.0,25440.0,25521.0,25521.0,26042.0,26049.0,26609.0,26611.0,27691.0,27941.0,27941.0,28034.0,28050.0,28050.0,27954.0,28082.0,28181.0,28181.0,29158.0,29153.0,29631.0,30168.0,30231.0,30546.0,30546.0,31214.0,31272.0,31514.0,31649.0,32148.0,32388.0,32388.0,32638.0,32823.0,33301.0,33582.0,33871.0
